game_id,unique_codes,transitions,codes_list
2025020153,11,23,"0651,1331,1340,1341,1431,1441,1451,1531,1541,1551,1560"
2025020655,11,19,"0651,1331,1340,1341,1350,1441,1451,1460,1541,1551,1560"
2025020385,10,30,"0541,0631,0641,0651,1351,1441,1451,1541,1551,1560"
2025020277,10,29,"0641,0651,1331,1340,1341,1441,1451,1541,1551,1560"
2025020479,10,25,"0651,1331,1341,1351,1441,1451,1460,1541,1551,1560"
2025020727,10,25,"0641,1331,1341,1441,1451,1460,1531,1541,1551,1560"
2025020679,10,24,"0651,1351,1441,1451,1460,1531,1541,1550,1551,1560"
2025020330,10,23,"0541,0651,1331,1431,1441,1451,1460,1541,1551,1560"
2025020008,10,20,"0541,0551,0651,1331,1351,1441,1451,1541,1551,1560"
2025020470,10,19,"0551,0651,0660,1331,1341,1441,1451,1541,1551,1560"
2025020708,10,19,"0641,0651,1331,1351,1441,1451,1460,1541,1551,1560"
2025020734,10,19,"0631,0641,0651,1431,1441,1450,1451,1531,1541,1551"
2025020500,10,13,"1010,1331,1340,1341,1350,1441,1451,1541,1551,1560"
2025020003,9,28,"0641,0651,1351,1451,1460,1541,1550,1551,1560"
2025020852,9,28,"0651,1331,1341,1351,1431,1441,1451,1541,1551"
2025020793,9,25,"0641,0651,1351,1441,1451,1460,1531,1541,1551"
2025020013,9,22,"0551,0641,0651,1341,1441,1451,1541,1551,1560"
2025020484,9,22,"0651,1351,1441,1451,1460,1541,1550,1551,1560"
2025020177,9,21,"0651,1331,1340,1341,1351,1451,1541,1551,1560"
2025020444,9,20,"0641,0651,1331,1441,1451,1460,1541,1551,1560"
2025020040,9,19,"0641,0651,1350,1441,1450,1451,1541,1551,1560"
2025020007,9,17,"0651,1331,1351,1441,1451,1460,1541,1551,1560"
2025020170,9,16,"0541,0641,0651,1441,1451,1460,1541,1551,1560"
2025020236,9,16,"0551,0641,0651,1441,1451,1460,1541,1551,1560"
2025020591,8,31,"0641,0651,1441,1451,1460,1541,1551,1560"
2025020256,8,28,"0651,1351,1441,1451,1531,1541,1551,1560"
2025020607,8,28,"0641,0651,1441,1451,1531,1541,1551,1560"
2025020303,8,27,"0541,0641,0651,1441,1451,1541,1551,1560"
2025020713,8,27,"0641,0651,1351,1441,1451,1531,1541,1551"
2025020497,8,26,"0651,1331,1441,1451,1531,1541,1551,1560"
2025020524,8,26,"0641,0651,1451,1460,1531,1541,1551,1560"
