eventId,sortOrder,timeInPeriod,timeRemaining,situationCode,typeCode,typeDescKey,periodDescriptor.maxRegulationPeriods,periodDescriptor.number,periodDescriptor.periodType,details.assist1PlayerId,details.assist1PlayerTotal,details.assist2PlayerId,details.assist2PlayerTotal,details.awaySOG,details.awayScore,details.blockingPlayerId,details.committedByPlayerId,details.descKey,details.discreteClip,details.discreteClipFr,details.drawnByPlayerId,details.duration,details.eventOwnerTeamId,details.goalieInNetId,details.highlightClip,details.highlightClipFr,details.highlightClipSharingUrl,details.highlightClipSharingUrlFr,details.hitteePlayerId,details.hittingPlayerId,details.homeSOG,details.homeScore,details.losingPlayerId,details.playerId,details.reason,details.scoringPlayerId,details.scoringPlayerTotal,details.secondaryReason,details.servedByPlayerId,details.shootingPlayerId,details.shotType,details.typeCode,details.winningPlayerId,details.xCoord,details.yCoord,details.zoneCode,homeTeamDefendingSide,pptReplayUrl
54,10,00:00,20:00,1551,520,period-start,3,1,REG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left,
53,11,00:00,20:00,1551,502,faceoff,3,1,REG,,,,,,,,,,,,,,24,,,,,,,,,,8482740,,,,,,,,,,8475798,0,0,N,left,
63,12,00:12,19:48,1551,503,hit,3,1,REG,,,,,,,,,,,,,,24,,,,,,8480878,8475798,,,,,,,,,,,,,,96,-12,O,left,
55,13,00:14,19:46,1551,508,blocked-shot,3,1,REG,,,,,,,8482740,,,,,,,24,,,,,,,,,,,,blocked,,,,,8473986,,,,57,-9,D,left,
101,14,00:24,19:36,1551,508,blocked-shot,3,1,REG,,,,,,,8478420,,,,,,,24,,,,,,,,,,,,blocked,,,,,8473986,,,,60,1,D,left,
57,15,00:31,19:29,1551,508,blocked-shot,3,1,REG,,,,,,,8480878,,,,,,,24,,,,,,,,,,,,blocked,,,,,8475798,,,,77,-3,D,left,
69,16,00:36,19:24,1551,503,hit,3,1,REG,,,,,,,,,,,,,,24,,,,,,8480878,8484762,,,,,,,,,,,,,,96,-15,O,left,
75,26,00:56,19:04,1551,504,giveaway,3,1,REG,,,,,,,,,,,,,,24,,,,,,,,,,,8481563,,,,,,,,,,-2,0,N,left,
68,27,01:07,18:53,1551,508,blocked-shot,3,1,REG,,,,,,,8481563,,,,,,,25,,,,,,,,,,,,blocked,,,,,8482145,,,,-76,14,D,left,
83,28,01:20,18:40,1551,503,hit,3,1,REG,,,,,,,,,,,,,,24,,,,,,8480027,8481563,,,,,,,,,,,,,,32,-35,O,left,
81,34,01:43,18:17,1551,504,giveaway,3,1,REG,,,,,,,,,,,,,,24,,,,,,,,,,,8478424,,,,,,,,,,-39,-37,D,left,
8,37,01:49,18:11,1551,516,stoppage,3,1,REG,,,,,,,,,,,,,,,,,,,,,,,,,,icing,,,,,,,,,,,,left,
78,39,01:49,18:11,1551,502,faceoff,3,1,REG,,,,,,,,,,,,,,24,,,,,,,,,,8475168,,,,,,,,,,8480068,69,22,O,left,
102,40,02:12,17:48,1551,508,blocked-shot,3,1,REG,,,,,,,8480950,,,,,,,24,,,,,,,,,,,,blocked,,,,,8478424,,,,68,13,D,left,
99,41,02:19,17:41,1551,504,giveaway,3,1,REG,,,,,,,,,,,,,,25,,,,,,,,,,,8475168,,,,,,,,,,88,36,D,left,
82,42,02:19,17:41,1551,508,blocked-shot,3,1,REG,,,,,,,8473994,,,,,,,24,,,,,,,,,,,,blocked,,,,,8482803,,,,36,36,D,left,
155,49,02:31,17:29,1551,503,hit,3,1,REG,,,,,,,,,,,,,,25,,,,,,8475462,8484829,,,,,,,,,,,,,,26,-39,D,left,
160,51,02:44,17:16,1551,503,hit,3,1,REG,,,,,,,,,,,,,,25,,,,,,8485512,8484829,,,,,,,,,,,,,,-78,37,O,left,
166,53,03:01,16:59,1551,503,hit,3,1,REG,,,,,,,,,,,,,,25,,,,,,8481754,8476889,,,,,,,,,,,,,,-86,-35,O,left,
9,56,03:08,16:52,1551,516,stoppage,3,1,REG,,,,,,,,,,,,,,,,,,,,,,,,,,icing,,,,,,,,,,,,left,
94,59,03:08,16:52,1551,502,faceoff,3,1,REG,,,,,,,,,,,,,,25,,,,,,,,,,8485512,,,,,,,,,,8482740,-69,22,O,left,
10,62,03:28,16:32,1551,516,stoppage,3,1,REG,,,,,,,,,,,,,,,,,,,,,,,,,,puck-in-crowd,,,,,,,,,,,,left,
