period,secondsIntoPeriod,secondsElapsedGame,situationCode,strength,awayGoalie,awaySkaterCount,awaySkaters,homeSkaterCount,homeGoalie,homeSkaters
1,0,0,1551,5v5,8479193,5,8476902|8478420|8479351|8480878|8482740,5,8480843,8473986|8475798|8476885|8481605|8484762
1,1,1,1551,5v5,8479193,5,8476902|8478420|8479351|8480878|8482740,5,8480843,8473986|8475798|8476885|8481605|8484762
1,2,2,1551,5v5,8479193,5,8476902|8478420|8479351|8480878|8482740,5,8480843,8473986|8475798|8476885|8481605|8484762
1,3,3,1551,5v5,8479193,5,8476902|8478420|8479351|8480878|8482740,5,8480843,8473986|8475798|8476885|8481605|8484762
1,4,4,1551,5v5,8479193,5,8476902|8478420|8479351|8480878|8482740,5,8480843,8473986|8475798|8476885|8481605|8484762
1,5,5,1551,5v5,8479193,5,8476902|8478420|8479351|8480878|8482740,5,8480843,8473986|8475798|8476885|8481605|8484762
1,6,6,1551,5v5,8479193,5,8476902|8478420|8479351|8480878|8482740,5,8480843,8473986|8475798|8476885|8481605|8484762
1,7,7,1551,5v5,8479193,5,8476902|8478420|8479351|8480878|8482740,5,8480843,8473986|8475798|8476885|8481605|8484762
1,8,8,1551,5v5,8479193,5,8476902|8478420|8479351|8480878|8482740,5,8480843,8473986|8475798|8476885|8481605|8484762
1,9,9,1551,5v5,8479193,5,8476902|8478420|8479351|8480878|8482740,5,8480843,8473986|8475798|8476885|8481605|8484762
1,10,10,1551,5v5,8479193,5,8476902|8478420|8479351|8480878|8482740,5,8480843,8473986|8475798|8476885|8481605|8484762
1,11,11,1551,5v5,8479193,5,8476902|8478420|8479351|8480878|8482740,5,8480843,8473986|8475798|8476885|8481605|8484762
1,12,12,1551,5v5,8479193,5,8476902|8478420|8479351|8480878|8482740,5,8480843,8473986|8475798|8476885|8481605|8484762
1,13,13,1551,5v5,8479193,5,8476902|8478420|8479351|8480878|8482740,5,8480843,8473986|8475798|8476885|8481605|8484762
1,14,14,1551,5v5,8479193,5,8476902|8478420|8479351|8480878|8482740,5,8480843,8473986|8475798|8476885|8481605|8484762
1,15,15,1551,5v5,8479193,5,8476902|8478420|8479351|8480878|8482740,5,8480843,8473986|8475798|8476885|8481605|8484762
